"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"101",133,50.9420041632632,0.802082180976868,14.4215450286865,2.63465428352356,1.61478793621063,16.2275581359863,27.62668800354,3.55,4.4,-44.336254119873,0.207993522286415,4.28571428571429,0.110086627304554,6.6
"102",134,41.9486123369619,0.656163513660431,12.1219367980957,4.82553577423096,2.3273298740387,15.0131568908691,19.7532558441162,3.34,4.4,-117.219169616699,0.172025710344315,4.13223140495868,-11.7206592559814,6.7
"103",135,53.9855072463768,0.877159714698792,25.0985145568848,3.58820867538452,2.95165205001831,20.0780544281006,28.7587127685547,2.3,4.4,18.2031860351562,0.0715480521321297,4.32692307692308,-2.82654881477356,6
"104",136,53.2737968471219,0.805494487285614,18.1275177001953,4.84366798400879,4.05276584625244,20.148063659668,24.8672103881836,4.79,4.4,-38.8846969604492,0.136772826313972,5.54089709762533,-2.86590170860291,6.4
"105",137,54.2405864070193,1.33251225948334,7.45670127868652,3.10709047317505,2.04139637947083,38.2228965759277,27.5754280090332,0.4,4.4,139.716430664062,0.0736297741532326,2.71186440677966,0.0489652156829834,6.4
"106",138,59.0945108568627,1.29424405097961,15.6083526611328,3.86655402183533,2.27417182922363,33.2805633544922,29.6821002960205,0.34,4.4,88.0451736450195,0.0886449739336967,3.24483775811209,-6.80813360214233,8.8
"107",139,55.7497816622999,1.37796783447266,11.6521816253662,3.3659815788269,2.32215929031372,39.0551948547363,27.5133724212646,0.55,4.4,91.9426879882812,0.0452277176082134,2.1505376344086,-6.42999029159546,6.7
"108",140,51.5090275525394,1.11264872550964,16.1454010009766,5.23295497894287,4.04834413528442,33.4145202636719,28.2406120300293,0.433333333333333,4.4,3.00091218948364,0.104791283607483,8.33333333333333,0.343984961509705,8.8
"109",141,53.2221010372914,0.930257618427277,24.6867771148682,4.85920667648315,3.75867080688477,27.5922622680664,30.7092552185059,0.62,4.5,-79.2902450561523,0.119875974953175,7.17299578059072,-1.95972895622253,6.6
"110",142,42.7608272395448,0.923709869384766,17.8966312408447,6.576735496521,5.90224885940552,31.8274402618408,24.6642417907715,0.23,4.5,-80.6058654785156,0.419880121946335,10.6471816283925,-5.66042757034302,7.5
"111",143,57.5669845956109,1.22739613056183,19.8045310974121,3.65626811981201,3.53886485099792,27.7178039550781,32.5816497802734,1.17,4.5,-74.4834823608398,0.221604645252228,5.88235294117647,-5.11629056930542,3.9
"112",144,53.7404522518215,0.790061712265015,27.0217056274414,6.35507535934448,12.9415836334229,13.8885927200317,27.6973819732666,8.56,4.5,-122.840034484863,0.169365435838699,3.81679389312977,-1.51165223121643,2.9
